[0623/133354.332:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0623/133354.403:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0623/134137.019:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0623/134137.075:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0623/142129.400:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0623/142129.473:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0623/142751.629:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0623/142751.689:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0623/161552.071:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0623/161552.135:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0623/162531.853:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0623/162531.963:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0623/174610.162:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0623/174610.229:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0623/175656.402:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0623/175656.475:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0625/093323.299:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0625/093323.353:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0625/135945.231:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0625/135945.300:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0625/144329.911:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0625/144329.992:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0625/145250.020:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0625/145250.117:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0625/181706.590:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0625/181706.656:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0626/095403.061:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0626/095403.154:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0626/154115.596:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0626/154115.678:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0626/164055.487:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0626/164055.635:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0626/172244.171:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0626/172244.280:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0626/175626.668:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0626/175626.768:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0626/192028.020:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0626/192028.071:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0627/100951.203:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0627/100951.305:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0627/162019.525:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0627/162019.666:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0627/162739.817:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0627/162739.897:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0627/163148.630:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0627/163148.709:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0627/164459.118:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0627/164459.183:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0627/165053.356:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0627/165053.425:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0627/165315.193:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0627/165315.307:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0627/175142.041:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0627/175142.148:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0627/183359.722:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0627/183359.899:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0628/093637.684:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0628/093637.735:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0628/102806.101:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0628/102806.148:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0628/140403.908:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0628/140403.989:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0628/143559.735:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0628/143559.798:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0628/163525.787:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0628/163525.851:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0628/171845.284:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0628/171845.349:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0629/094802.773:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0629/094802.832:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0629/095706.732:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0629/095706.771:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0629/103719.062:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0629/103719.145:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0629/104906.638:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0629/104906.762:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0629/140429.909:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0629/140429.995:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
